No,question,option A,option B,option C,option D,answer
1,Which of the following extract instructions and decodes them?,Memory,CPU,ALU,Control Unit,B
2,Which linking unit allows the entry of data into the computer system?,Output Unit,Input Unit,Processor,Cache memory,B
3,Which of the following holds data for a long period of time?,Cache Memory,Hard Disk,RAM,Diskette,B
4,Which of the following refers to instruction set of a computer?,Arithmetic operations performed by a memory location,Logical operations performed by a cache memory,The operations a microprocessor performs,"
Arithmetic operations performed by a microprocessor
",C
5,Which of the following makes up the CPU?,Memory and ALU,Cache and Control unit,Control unit and ALU,Ram and Control unit,C
6,Which of the following is the fastest?,RAM,Cache,Hard drive,Flash disk,B
7,Which of the following is a unit for measuring the speed of a computer system,10-9,10-6,103,106,B
8,"With respect to computer system, what is versatility?","
Ability to carry out same multiple tasks
",ability to execute completely different type of work,"ability to carry out related tasks in limited time

","ability to carry out iteration.
",B
9,Which of the following is an in-built memory?,"
hard disk
",magnetic drive,RAM/cache,Floppy disk,C
10,Which of the following is crucial to problem solving?,Problem initiation,Problem identification,Problem creation,"
Problem definition",B
11,The primary language understood by a computer is______________,High level language,Low level language,"
Intermediate language","Object languages
",C
12,Which of the following relates to steps required to complete a task?,Flowcharts,Data flows,Algorithm,Structure charts,C
13,Which of the following is closer to the processor?,RAM,Cache,Hard drive,Flash disk,B
14,Which of the following is not a function of the input unit?,It accepts (or reads) the list of instructions and data from the outside world.,It converts these instructions and data in computer acceptable format.,It supplies the converted instructions and data to the computer system for further processing,"
It converts these coded results to human acceptable (readable) form",D
15,Which of the following is a flash memory device?,Memory stick,Blu-ray disc,Tape cassette,SSD,D
16,Which of the following functions as both input and output device?,Facsimile,Plotters,Webcam,Projector,A
17,Which of the following does not relate to the storage functions of the memory?,Final results of processing before these results are released to an output device,"Storage of intermediate results of processing.
",Storage of all data to be processed and the instruction required for processing,Arithmetic data only,D
18,Which of the following performs comparison and calculations?,Memory,USB,CPU,Control unit,C
19,Which of the following relates to diligence in computers?,Free from tiredness and fatigue,Ability to compute error,"Ability to make multiple comparisons
",Ability to lower human performance,A
20,Which of the following set represents the typical functional component of a computer system from input to output?,"Image scanner, super disk, LCD projection channel","
LCD projection channel, Image scanner, super disk","
Super disk, Image scanner, LCD projection channel","
LCD projection channel, super disk, Image scanner",A
21,Which of the following is a temporary storage device?,Magnetic disk,Hard disk,Cache memory,Network media,C
22,Which of the following is a magnetic storage device?,Memory stick,Blu-ray disc,Hard disk,SSD,D
23,How does complicated instruction set affect a computer system?,"Makes operation performance faster
",Makes CPU performance slower,"Makes CPU performance faster
","Makes no effect on the system performance
",B
24,Which of the following uses light for data storage?,"Memory stick
",Blu-ray disc,Tape cassette,SSD,B
25,Which of the following controls both the internal and external devices?,ALU,CPU,CACHE,RAM,B
26,Which of the following is an attribute of a good programmer?,Ability to encode fact into variables,"
Ability encode variables into facts",Ability to convert data into facts,"
Ability to store facts in the system",A
27,"To reduce the memory access time, which of the following can be incorporated?",heaps,"
Higher capacity RAM",SDRAM,"
Cache memory",D
28,The small extremely fast RAMS are called,Cache,Heaps,Hard disk,Floppy disk,A
29,Devices that accepts data from outside computer and transfer into CPU are called?,input devices,digital devices,"
analogue devices",truth table peripherals,A
30,Devices which are used to receive data from central processing unit are classified as?,output/input devices," 
digital devices",signaled devices,output devices,A
31,RAM stands for,Random Access Memory,"
Read Access Memory",Read Arithmetic Memory,"
Random Arithmetic Memory",A
32,Which of the following computer component is correctly associated with the function it performs?,monitor: output,CPU: storage,RAM: processing,"
Optical drive: input",A
33,The hardware unit used for controlling computer system operation is___?,monitor,RAM,Processor,keyboard,C
34,The hardware unit for long-term storage is_____?,RAM,Hard Disk,Floppy disk,DVD,B
35,"Which of the following will be chosen based on speed to access?
",RAM,Hard Disk,Floppy disk,CD-ROM,A
36,The full meaning of ALU is_______________,"Arithmetic Logic Unit
",Array Logic Unit,"Application Logic Unit
",None of above,A
37,ALU and Control Unit jointly known as__________________,RAM,ROM,CPU,PC,C
38,RAM is an example of________________________,"
Secondary memory
",Primary memory,Main memory,Both primary and secondary memory,B
39,Magnetic disk is an example of,Secondary memory,Primary memory,Main memory,Both primary and secondary memory,A
40,RAM is also called a," 
Read / Write Memory",Long Memory,"
Permanent Memory
",Primary Memory,A
41,All of the following are examples of storage devices EXCEPT," 
hard disk drives",printers,"
floppy disk drives","CD drives
",B
42,Computers process data into information by working exclusively with,multimedia,word,binary numbers,characters,C
43,A DVD is an example of a,hard disk,optical storage,output device," 
solid-state storage device
",B
44,Which part of the computer is directly involved in executing the instructions of the computer program?,The scanner,The main storage,The secondary storage,The processor,D
45,Which of the following does not store data permanently?,ROM,RAM,Floppy disk,Hard disk,B
46,Which one of the following is true for RAM?,"
It is volatile memory","It is temporary memory
",It is primary memory,All of the above,D
47,"What does a computer do after gathering data, processing it and sending the data to the output device?",Delete the data,Write the data,Hide the data,Stores the data,D
48,Where are the programs and data currently processed by the CPU stored?,Internal memory,PROM,Mass memory,"None of the above
",D
49,Accepted instructions are converted into machine language with the help of,Memory unit,Input Unit,Logical unit,Processing unit,B
50,Secondary storage devices are,Long-term and high- capacity devices,Temporary in nature like RAM,"
Diskettes, tapes or removable devices
",Permanent in nature like Cache memory,A
51,A computer system is known for,Formulating instruction,"
Directing instruction",Executing Instruction,"
Formatting Instruction
",C
52,The first thing a computer does while it manipulates data is,"Store the data
",Take the data as input,Process the data,"None of the above
",B
53,A computer cannot do the following,Store Data,process data,take in data as input,"None of the above
",D
54,One of the following could not be classified as part of a computer," 
Display unit
",CPU,Storage Unit,"None of the above
",D
55,A program could be defined as,A formative instruction,A directed instruction, formatted instruction,An executable instruction,D
56,A computer can be classified based on the following except,Type of Data Processed,Age of technology,Size,Meaning,D
57,Computer is classified on purpose based on,Special Purpose,General Purpose,All of the above,None of the above,C
58,A classification of computer that combines the best qualities of digital and analog computers is,Joint computers,Specific computers,Hybrid computers,General computers,C
59,The program for operating computer is stored in,RAM,ROM,CPU,Monitor,B
60,A Computer that is known for representing data or information in discrete or discontinuous form is,Joint computer,Hybrid computer,Special Computer,Digital Computer,D
61,"
The first programmable computer is",MAC engine,SUM engine,Difference engine,Product engine,C
62,One of the following is the major characteristic of the first generation computer,Transistors,Integrated circuit,Vacuum tubes,All of the above,C
63,The name of the person that produced the first computer is,Charles Babbage,Pascal Blaise,Bill Gate,Mike Warren,A
64,The electronic switches that was used instead of electromechanical relays by first generation computers could also be termed as,Vacuum tubes ,Integrated circuits,VLSI,Transistors,A
65,The concept of Von Newman that made EDVAC more remarkable than ENIAC is,Speed,Accuracy,Stored program,None of the above,C
66,The remarkable feature of the second generation computers is,Transistors,"
Integrated circuit",Vacuum tubes,All of the above,A
67,The type memory that was used by second generation computers is classified as,Magnetic Core ,"Solid base
",Liquid State,Vacuum tubes,A
68,Which of the following is not part of classification by size,Laptop computer,Mini computer,Super computer,Micro computer,A
69,"
One of the following is part of the classification of computers by size",Desktop computers,Laptop computers,Mainframe computers,"
Palmtop computers",C
70,Which generation of computers is characterized by the development of Integrated circuit,First,Second,Third,Fourth,B
71,"
One of the characteristics of fourth generation of computers is",VLSI,IC,LSI,Transitor,C
72,Palmtop and desktop computers are examples of,Larger computers,"Mega computers
Mega computers
Mega computers",Super computers,Micro computers,D
73,"

Laptop and Tablet computers are examples of",Mega Computers,Micro computers,Super computers,Mini computers,B
74,"
VLSI is a major characteristic of",Sixth generation,Fifth generation,Fourth generation,Third generation,B
75,Which of the generation of computers were also characterized by SSI and MSI evolution,Sixth generation,Fifth generation,Fourth generation,Third generation,D
76,Development of LAN is one of the advantages of,First generation,Second generation,Third generation,Fifth generation,D
77,Mouse is part of computer,Software,Hardware,Applicationware,"
Partsware",B
78,CPU stands for,"
Cost of Public Union",Central Processing Union,Central Processing Union,None of the above,D
79,RAM and ROM are examples of computer,"
Monitor",Software,CPU,Memory ,D
80,identify an output device from the options below,speaker,touch pen,keyboard,mouse,A
81,identify an input device from the options below,printer, mouse,speaker,monitor,B
82,Which group are output devices below,"Mouse, printer, monitor","Speaker, mouse, printer","Keyboard, monitor, speaker","Printer, monitor, speaker",D
83,ROM stands for,Random output means,Random Access Memory,Read only memory,Read out memory,C
84,RAM stands for,Random output means,Random Access Memory,Read out memory,Read only memory,B
85,One of these is not an input device,Mouse,Keyboard,Scanner,printer ,D
86,CPU can be found in,Display unit,System unit,Keyboard,mouse,B
87,which of these is a characteristics of first generation computers,parallelism,very large and consume spaces,very small and can be carried on hand,multitasking,B
88,SSI as associated with generation of computers is an acronym for,Small scale integration,Small sectional interpretation,Solid state interface,Solid statue interface,A
89,MSI as associated with generation of computers is an acronym for,Most scalable interpretation,Medium scale integration,Middle sectional interpretation,Meddle section interpretation,B
90,Low level languages could be seen as a characteristics of,Second generation computers,"
Fifth generation computers",Fourth generation computers,"
Third generation computers",A
91,High level languages were first introduced first in the,Second generation computers,"
Fifth generation computers",Fourth generation computers,"
Third generation computers",A
92,Assembly language is an example of ………………………………,High level language,Highest level language,Low level language  ,"
None of the above",B
93,Parallelism is a characteristic of,Second generation computers,"
Fifth generation computers",Fourth generation computers,"
Third generation computers",B
94,USB as a connective port of computer stands for ...............,United State of Base,Universal section boundary,Universal Serial Bus ,Union Section Bus,C
95,Computer is classified on size based on,Mini computers,Micro computers,All of the above," 
None of the above",C
96,Which of these is not among classification of computers by generation,Fifth,First,Half ,Second,C
97,Which of these are group of input devices,"
Camera, mouse, scanner","Mouse, keyboard, printer","Keyboard, light pen, projector","Mouse, keyboard, monitor",A
98,Which of these cannot be classified as part of a computer system,Printer,Mouse," Scanner
All of the above",CUP,D
99,"
Fortran and COBOL are examples of",Low level language,High level language," 
All of the above",None of the above,B
100,Computer software is basically - and - required to perform specific tasks on a system.,Operations and programs,Programs and procedure ,"
Systems and procedure",procedure and operations,A
101,Computer languages include,"Low-level, medium and Assembly Languages

","Low, Assembly and High Level languages","
Assembly, Low-level and Machine Languages","Low, High and Medium Languages",B
102,One of the following is NOT a system software,Device drivers,Software components,"
Operating systems",System components ,D
103,Programming software helps writing programs through the following EXCEPT,Compilers," 
Deboggers ",Editors,Data Link layer,B
104,Class of software that is used for solving specific tasks is generally termed asoperation at the same time is called .......,"Specific-task software
",Microsoft suite,Application software,Enterprise software,C
105,Microsoft Access is an example of a,Multimedia software,Simulation software,Presentation software,Database software ,D
106,Customer relationship management system is an example of a,"
Multimedia software
",Simulation software,Enterprise software,Management software,C
107,"
Encarta is an example of ……………………………",Educational software ,Management software,Multimedia software,Application suite,A
108,"Software used to manipulate text, graphics and numbers are known as ...........",Debuggers,"
Editing software",Graphic software,Application software  ,D
109,"Applications that provide a collection of documents and graphic illustrations including clip art drawings, diagrams, diagrams and photos",Graphic applications,Drawing applications,Microsoft suite,Web-based applications,D
110,"The Class of application that can be used to organize, analyze and chart numerical data such as financial reports is known as",Microsoft Excel,Corel Quattro Pro,Spreadsheet,Lotus 1-2-3,C
111,A collection of relational data is known as,INFORMATION,DATABASE,FILE,DOCUMENT,B
112,SQL means,Structured Quality Labels,System Query Language,System Quality Labels,Structured Query Language,D
113,DBMS means,Database Management Software,Database Manipulating System,Database Manager System,Database Management System,D
114,One of the following best describes a malware,INTRUSIVE,FREE DOWNLOADABLE,CHEAP,downloadable,A
115,Software that comes with a demo version is known as,malware,shareware,spyware,commercial software,D
116,Whatsapp is an example of,malware,chatware,shareware,adware,C
117,"Trojan horses, worms and viruses are examples of",malware,nagware,shareware,adware,A
118,Norton internet security suite and the antivirus system are examples of,malware suite,utility suite,shareware suite,adware suite,B
119,Computer softwares can be classified as,Programming and graphics,Editors and debuggers,system and application,Application and programming,C
120,Computer data is transmitted block by block in transmission known as ..................,synchronous,digital,asynchronous,analog,A
121,"In computer, which of the following is a communication media?",all of these,"standard telephone lines
",coaxial cables,microwave transmission,A
122,"In computer, converting a digital signal in to an analog signal is called",modulation,demodulation,conversion,transformation,A
123,Signals generated by a operating system to send it over phone line must be further converted into a,AC signal,analog signal,digital,microwave,B
124,"In computer, process of superimposing a low frequency signal over a high frequency signal is called",modulation,demodulation,conversion,transformation,A
125,"Software application which is used for retrieving, presenting and traversing information resources on World Wide Web is called",gateway,EFT,browser,teleconferencing,C
126,Layers present in a computer OSI model are,4,5,6,7,D
127,Collection of documents stored in a computer which is permanently connected with internet around world is called,telnet,www,FTP,LAN,B
128,A node which is represented in a computer network topology is basically a,computer,hub,hardware,printer,A
129,Key element of a computer protocol is,syntax,semantics,timing,All of these,D
130,Which of following is a computer internet protocol?,IEEE 802.2,IEEE 802.3,TCP/IP,MAC,C
131,Computer software which combines audio and video application sharing is known as,teleconferencing software,data sharing software,project sharing software,utility software,A
132,"Topology which takes more cable than e.g. a bus, but benefit is that if a cable fails, only one node will be brought down is",bus topology,ring topology,star topology,mesh topology,D
133,Which of following is not a benefit of a computer network?,reduce hardware cost,connect people,enable shared applications,produce high quality programs,D
134,"In computer, ISO stands for","In computer, ISO stands for",independent system operator,infrared space observatory,international students organization,A
135,Which of following is not a computer LAN topology?,bus topology,band,star,ring,B
136,Main purpose of computer network is............,file sharing,printer sharing,hard disk sharing,all of these,D
137,Transferring information from a computer to internet is called,downloading,downsizing,uploading,pasting,C
138,Bottom layer of computer OSI model is...............,physical,data link,network,Application,A
139,Top most layer of computer OSI model is..........,application,session,transport,presentation,A
140,Layer of computer OSI model which furnishes electrical connections and signaling is known as........,application,physical,session,network,B
141,"In computer, FTP facility is used to.......",transfer protocol,transfer file,connect to internet,check PC,B
142,If a computer in a network shares resources which can be accessed by other computers it is called a................,server,client,sender,port,A
143,"In computer, FTP stands for...............",file transfer protocol,finding tele path,final transmission program,file transfer process,A
144,Layer of computer OSI model which performs data compression is.............,network,datalink,presentation,physical,D
145,ISO developed a standard model of computer data communication system which is known as......,OSI,ANSI,DEC,SNA,A
146,Layer of computer OSI model which is concerned with addressing and routing is called................,network,datalink,physical,transport,A
147,Interconnection which is present between two or more computers so that they can communicate with each other is called..............,network,sharing,link,LAN,A
148,OSI stands for...............,Open System internals,Open System international,Open System interconnection,Organization Standard International,C
149,Framing is an activity at the.................layer of the OSI,Network,Application,physical,data link,D
150,The following are advantages of social media except.........,sharing,socialization,cyberstalking,crowdsourcing,C
151,The following are examples of social media platform except.............,Google,Google+,Facebook,Telegram,A
152,The path through which signal will be sent between two nodes is determined at the..............layer,physical ,logical ,transport,network,D
153,Conversion of bit into electrical or optical signals is the carried out at the ........layer,Data Link,Physical,Application,Transport,B
154,.................layer performs the role of translator,Presentation,Session,Physical,Data Link,A
155,The following are transmission modes except...............,"Duplex
",Quarter Duplex,Half Duplex,simplex,B
156,Routers and gateways are devices found on the ......................layer of the OSI model,physical ,SESSION,Presentation,None of the options,D
157,Service point addrressing is one of the role of which layer?,Session layer,Transport layer,Network layer,Data Link layer,B
158,Mechanism used by the session layer to prevent two parties from attempting the same critical operation at the same time is called .......,Operation management,Access management,Token management,None of the options,C
159,The following activities are executed at the presentation layer except............,Encryption,Decryption,Compression,Framing,D
160,The following are protocols on the Application layer except.......................,HTTP,FTP,UDP,DNS,C
161,Which of the following is not the function of the Application Layer?,None of the Options,Directory Services,Mail Services,Mail Services,A
162,SMTP stands for ...........,Systemic Mail Transfer Protocol,Simple Mail Transport Protocol,Systemic Mail Transmition Protocol,Simple Mail Transfer Protocol,D
163,Which of the following is not a protocol in Layer 3 of the OSI model?,Open Shortest Path First,Internet Protocol Version 6,Exterior Gateway Protocol,Border Gateway Protocol,D
164,The two types of connection control on the transport layer are...................................,Connectionless and Connection-Oriented TL,Active and Passive TL,Direct and Indirect TL,None of the options,A
165,Bluetooth and Infrared operates on which layer of the OSI-model?,Transport,Physical,Application,Session,B
166,Voltages and Baud rate needed for transmission is defined on the...........layer,Network,Presentation,Physical,Data Link,C
167,Synchronization is an activity on the following layers except..................,Session,Data Link,Presentation,None of the Options,C
168,...........................layer is the inteface between the model and end-users,Session,Physical,Application,Network,C
169,Error control in carried out of the following layers except...................,Presentation,Transport,Network,Data Link,A
170,Which of the following is not true about the internet,A network of networks,Started as ARPANET,Started in US Department of defense,None of the above,D
171,ARPA represents,Advanced Research Projects Agency,Advanced Reach Projects Agency,Advanced Residents Projects Agency,Advanced Research Projects Agents,A
172,The World Wide Web came into being in,1990,1991,1992,1997,B
173,Who developed the internet,Isaac Newton,Tim Bernes-Lee,Bill Gates,Mark Zukaberg,B
174,The internet works with which of the following major protocols,TCP/IP,TPP/IPC,PCT/PI,CPT/PI,A
175,HTTP represents,HyperText protocol,Hypertext Transfer Protocol,Hyper Protocol,None of the above,B
176,HTML represents,Hyper Text Markup Language,Hyper Markup Language,Higher Markup Language,None of the above,A
177,URL represents,Universal Resource Locator,United Resource Locator,Uniform Resource Locator,None of the above,C
178,Which of the following is an example of Browser,Microsoft Word,Corel Draw,Internet Explorer,Python,C
179,Which of the following is an example of search engine,Microsoft Excel,Google,Apple,WWW,B
180,URL can also represent,Web address,Search engine,Tool bar,None of the above,A
181,Look at the following Top level dormains and state which of them represents a military site,.com,.edu,.org,.mil,D
182,Which of the Top level domains below best applies to University website,.com,.edu,.org,.mil,B
183,"When establishing a website for commercial purposes, which of the following Top level domains best applies",.com,.edu,.org,.mil,A
184,"To establish a government website, which of the following Top level domain would you recommend",.biz,.int,.gov,.name,C
185,The browser keeps track of the pages you’ve visited and saves them on your hard disk so they will load faster when you return to them. These saved files are stored where,RAM,ROM,Cache,Magnetic device,C
186,Search engine databases are selected and built by Computer Robot Programs called,Spiders,Search rats,Bots,Quicknets,A
187,"When personal details of an innocent people are harvest by a third party so that they can be used for malicious purposes, is called",Personal theft,Identity theft,Institutional theft,None of the above,B
188,In the world computing the brabch of philosophy that deals with determining what is right and wrong is called,Computer ethics,Computer forensics,Computer rights,None of the above,A
189,Which of the following is/are an ethical behavior in computing,Use of computer to harm other people,Use of computer to steal,None of the above,All of the above,C
190,Which of the following is NOT an example of antivirus,AVG,Avast,Norton,Microsoft word,D
191,The idea of computer ethics was invented in what year,1950,1951,1952,1953,A
192,The idea of computer ethics was invented by who,Professor Bill Harvard,Professor Nobert Weiner,Professor John Clijnton,Edward Newman,B
193,Which of the following is NOT a main concern of computer ethics,Internet privacy,Cracking,Copyright Infringement,Entertainment,D
194,Which of the following computer based programs is non-destructive,Virus,Worms,Trojan horse,Microsoft windows,D
195,Which of the following is a primary architecture of the internet,Client-client architecture,Client-server architecture,Server-server architecture,None of the above,B
196,Which of the following is NOT a type of protocol,TCP,IP,HTTP,.gov,D
197,TCP represent a kind of protocol fully called,Transport Control Protocol,Transmission Control Protocol,Transfer Co-ordinating Protocol,None of the above,B
198,WWW represents,Worldwide Network,World Wide Web,World Wide Internetwork,None of these,B
199,IP is a popular protocol in computing; IP therefore represents,Information Protocol,Internet Protocol,Intercharge Protocol,None of the above,B
200,ARPANET was a network that connected major computers at University of ……………,University of California,University of Cambridge,University of Capetown,University of Connecticut,A
201,The World Wide Web came into being in what year,1990,1992,1991,1995,C
202,"------------contains the basic software you need in order to find, retrieve, view and send information over the internet.",Browser,Internet retriever,Web page,None of the above,A
203,"Generally, any text that contains “links” to other text are called",Browser,Hypertext,URL,None of the above,B
204,------------ is a term which describes sending data from a local computer to a remote computer,Download,Offload,Upload,Update,C
205,------------- is aterm which describes copying data from a remote computer to a local computer,Update,Download,Offload,None of the above,B
206,The beginning page of any website is called,First page,New page,Home page,None of the above,C
207,What is the full meaning of ARPANET,Advanced Research Projects Agency Network,Advanced Residents Projects Agency Network,Advanced Research Projects Agents,Advanced Projects Agency Network,A
208,------------- is a set of steps for solving a particular problem,Algorithm,Instruction,Approach,None of the above,A
209,The property of algorithm which states that an algorithm must always terminate after a specific number of steps is called----------------------,Finiteness,Definiteness,None of the above,All of the above,A
210,All of the following are properties of algorithm except,Finiteness,Definiteness,None of the above,All of the above,C
211,A diagrammatic representation of flow of data/information through a processing system is called,New diagram,Program diagram,Flow chart,None of the above,C
212,The rectangular symbol in a flowchart represents,Process ,Flow,Decision,Offpage Connector,A
213,The Diamond symbol in a Flowchart represents,Process ,Flow,Decision,Offpage Connector,C
214,The arrows in a Flowchart represents,Process ,Flow,Decision,Offpage Connector,B
215,The Circular symbol in a Flowchart represents,Input/output,Process,Terminal,Connector,D
216,Connector symbol in a flow chart performs the following functions except,Connects from one page to another page,Connects from the bottom of the page to the top of the same page,None of the above,Connects an upward flow of more than 3 symbols,C
217,Which of the following is not true about flow charts,"
All flow charts end with a terminal or a connection loop
"," 
The decision symbol has two exit points; these can be on the sides or the bottom and on one side",Flow chart symbols have an entry point on the top of the symbol with no other entry points,None of the above,D
218,Which of the following is NOT an advantage of flow chart in computer programming,Supports coding of program,Supports efficient program maintenance,Communicates the program flow,None of the above,D
219,State example(s) of algorithm,"Flowchart
","
Pseudocode
","
Pseudocode
","
None of the above
",C
220,Identify a Search Engine out of the following options,Microsoft Excel,Google,"
Apple","WWW
",B
221,Which of the following is not a main concern of computer ethics,"Internet privacy
","Cracking
","Copyright Infringement
",Entertainment,D
222,The property of algorithm which states that an algorithm must always terminate after a specific number of steps is called----------------------,Finiteness,"Definiteness
",None of the above,"
All of the above
",A
223,What is the full meaning of ARPANET,Advanced Research Projects Agency Network,"Advanced Residents Projects Agency Network
",Advanced Research Projects Agents,"Advanced Projects Agency Network
",A
224,Who developed the internet,"
Isaac Newton
",Tim Bernes-Lee,"
Bill Gates","Mark Zukaberg
",B
225,Which of the following is an example of Browser,Microsoft work,Corel Draw,Internet Explorer,Python,C
226,HTML represents,HyperText Markup Language,"Hyper Makeup Language
",Higher Markup Language,"
None of the above
",A
227,Look at the following Top level domains and state which of them represents a military site,.com,.edu,.org,.mil,D
228,A computer system is known for,Formulating instruction,"Directing instruction
",Executing Instruction,Formatting Instruction,C
229,The first thing a computer does while it manipulates data is,"Store the data
",Take the data as input,Process the data,"
None of the above
",B
230,A computer cannot do the following,"Store data
","Process data
","Take in data as input
","None of the above
",D
231,One of the following could not be classified as part of a computer,"
Display unit
","CPU
","Storage unit
",None of the above,D
232,A program could be defined as,A formative instruction,A directed instruction,"A formatted instruction
",An executable instruction,D
233,A computer can be classified based on the following except,"Type of Data Processed
","Age of technology
","
Meaning","
Size
",C
234,Computer is classified on purpose based on,Special Purpose,"General Purpose
",All of the above,"None of the above
",C
235,A classification of computer that combines the best qualities of digital and analog computers is,Joint computers,"Specific computers
",Hybrid computers,"
General computers
",C
236,The program for operating computer is stored in,RAM,ROM,CPU,Monitor,B
237,A Computer that is known for representing data or information in discrete or discontinuous form is,Joint computer,"Hybrid computer
","Special Computer
",Digital Computer,D
238,The first programmable computer is,MAC engine,"SUM engine
","Product engine
",Difference engine,D
239,The name of the person that produced the first computer is,Pascal Blaise,Charles Babbage,"Bill Gate
","Mike Warren
",B
240,One of the following is the major characteristic of the first generation computer,Transistors,"Integrated circuit
","Vacuum tubes
","All of the above
",C
241,The electronic switches that was used instead of electromechanical relays by first generation computers could also be termed as,Vacuum tubes,"Integrated circuits
","VLSI
","Transistors
",A
242,The concept of Von Newman that made EDVAC more remarkable than ENIAC is,"Speed
","Accuracy
",Stored program,"None of the above
",C
243,The programming language that was applicable to the first generation computers is,High level language,"Assembly language
","Machine language
","None of the above
",C
244,The remarkable feature of the second generation computers is,"Transistors
","Integrated circuit
","Vacuum tubes
","All of the above
",A
245,The type memory that was used by second generation computers is classified as,Magnetic Core,"Solid base
","Liquid State
","
Vacuum tubes
",A
246,Which of the following is not part of classification by size,Laptop computer,Mini computer,"Super computer
",Micro computer,A
247,One of the following is part of the classification of computers by size,"
Desktop computers
",Laptop computers,Mainframe computers,"
Palmtop computers
",C
248,Which generation of computers is characterized by the development of Integrated circuit,"First
","
Second
",Third,"fourth
",C
249,One of the characteristics of fourth generation of computers is,VLSI,IC,LSI,Transistor,C
250,Palmtop and desktop computers are examples of,"Larger computers
",Micro computers,Super computers,"Mega computers
",B
251,Laptop and Tablet computers are examples of,"Mega Computers
","Mini computers
","Super computers
","
Micro computers
",D
252,VLSI is a major characteristic of,"Sixth generation
",Fifth generation,Fourth generation,Third generation,C
253,Which of the generation of computers were also characterized by SSI and MSI evolution,"Sixth generation
",Fifth generation,"Fourth generation
",Third generation,D
254,Development of LAN is one of the advantages of,First generation,"Second generation
",Third generation,"
Fifth generation",D
256,Mouse is part of computer,"Software
",Hardware,"Applicationware
","Partsware
",B
257,CPU stands for,"Cost of Public Union
",Central Processing Union,"Cost of processing unit
",None of the above,D
258,RAM and ROM are examples of computer,"
Software
","
CPU",Memory,"Monitor
",C
259,identify an output device from the options below,"touch pen
","
speaker","keyboard
","mouse
",B
260,identify an input device from the options below,"
printer
","
speaker
",monitor,"
mouse",D
