No,question,option A,option B,option C,option D,answer
261,Which group are output devices below,"Mouse, printer, monitor
","Printer, monitor, speaker","
Keyboard, monitor, speaker
","Speaker, mouse, printer",B
262,ROM stands for,"Random output means
",Random Access Memory,"Read out memory
",Read only memory,D
263,RAM stands for,"
Random output means",Random Access Memory,"Read out memory
","
Read only memory
",B
264,One of these is not an input device,"
Mouse
","Keyboard
","Scanner
",printer,D
265,CPU can be found in,System unit,Display unit,"Keyboard
","mouse
",A
266,which of these is a characteristics of first generation computers,"
very large and consume spaces",very small and can be carried on hand,"multitasking
","
parallelism
",A
267,SSI as associated with generation of computers is an acronym for,Small scale integration,Small sectional interpretation,"Solid state interface
","Solid statue interface
",A
268,MSI as associated with generation of computers is an acronym for,"Meddle section interpretation
","Middle sectional interpretation
",Medium scale integration,"Most scalable interpretation
",C
269,VLSI is a major characteristic of,Sixth generation,Fifth generation,"Fourth generation
",Third generation,B
270,Laptop and Tablet computers are examples of,Mega Computers,"Super computers
",Micro computers,"Mini computers
",C
271,High level languages were first introduced first in the,First generation computers,Fifth generation computers,Fourth generation computers,Second generation computers,D
272,Assembly language is an example of,High level language,Highest level language,Low level language,None of the above,C
273,Parallelism is a characteristic of,First generation computers,Second generation computers,Third generation computers,Fifth generation,D
274,USB as a connective port of computer stands for,United State of Base,Universal section boundary,Universal Serial Bus,"
Union Section Bus",C
275,Computer is classified on size based on,Mini computers,Micro computers,All of the above,"
None of the above",C
276,Which of these is not among classification of computers by generation,Fifth,"
First
",Half,Second,C
277,Which of these are group of input devices,"Camera, mouse, scanner","Mouse, keyboard, printer","Keyboard, light pen, projector","Mouse, keyboard, monitor",A
278,Which of these cannot be classified as part of a computer system,Mouse,Printer,"
Scanner","
CUP",D
279,Fortran and COBOL are examples of,High level language,Low level language,"
All of the above",None of the above,A
280,Computer software is basically - and - required to perform specific tasks on a system.,Programs and procedure,Operations and programs,Systems and procedure,procedure and operations,A
281,Computer languages include,"Low-level, medium and Assembly Languages","Low, Assembly and High Level languages","Assembly, Low-level and Machine Languages","Low, High and Medium Languages",B
282,One of the following is NOT a system software,Device drivers,Software components,"
System components",Operating systems,C
283,Programming software helps writing programs through the following EXCEPT,Compilers,Linkers,Deboggers,Editors,C
284,Class of software that is used for solving specific tasks is generally termed as,Specific-task software,Microsoft suite,Enterprise software,Application software,D
285,Microsoft Access is an example of a,Multimedia software,Database software,Presentation software,Simulation software,B
286,Customer relationship management system is an example of a,Multimedia software,Enterprise software,Management software,Simulation software,B
287,Encarta is an example of,Educational software,Multimedia software,Application suite,Presentation software,A
288,"Software used to manipulate text, graphics and numbers are known as",Editing software,Debuggers,Application software,Graphic software,C
289,"Applications that provide a collection of documents and graphic illustrations including clip art drawings, diagrams, diagrams and photos",Graphic applications,Drawing applications,Microsoft suite,Web-based applications,D
290,"Class of application that can be used to organize, analyze and chart numerical data such as financial reports is known as",Microsoft Excel,Corel Quattro Pro,Spreadsheet,Lotus 1-2-3,C
291,A collection of relational data is known as,Information,Database,"
Files",Document,B
292,SQL means,Structured Quality Labels,System Query Language,System Quality Labels,Structured Query Language,D
293,DBMS means,Database Management Software,Database Manipulating System,Database Manager System,Database Management System,D
294,One of the following best describes a malware,Intrusive,free,downloadable,cheap,A
295,Software that comes with a demo version is known as,Malware,Shareware,Spyware,Commercial software,D
296,Whatsapp is an example of,Malware,Chatware,Shareware,Adware,C
297,"Trojan horses, worms and viruses are examples of",Malware,Nagware,Shareware,Adware,A
298,Norton internet security suite and the antivirus system are examples of,Malware suite,Utility suite,Shareware suite,Adware suite,B
299,Computer softwares can be classified as,Programming and graphics,Editors and debuggers,System and application,Application and programming,C
300,Computer data is transmitted block by block in transmission known as ..................,synchronous,digital,asynchronous,analog,A
301,"In computer, which of the following is a communication media?",all of these,standard telephone lines,coaxial cables,microwave transmission,A
302,"In computer, converting a digital signal in to an analog signal is called",modulation,demodulation,conversion,transformation,A
303,Signals generated by a operating system to send it over phone line must be further converted into a,AC signal,analog signal,"
digital signal
",microwave,B
304,"In computer, process of superimposing a low frequency signal over a high frequency signal is called",modulation,demodulation,conversion,transformation,A
305,"Software application which is used for retrieving, presenting and traversing information resources on World Wide Web is called",gateway,EFT,browser,teleconferencing,C
306,Layers present in a computer OSI model are,4,5,6,7,D
307,Collection of documents stored in a computer which is permanently connected with internet around world is called,Telnet,WWW,"
FTP
",LAN,B
308,A node which is represented in a computer network topology is basically a,computer,hub,hardware,printer,A
309,Key element of a computer protocol is,syntax,semantic,timing,all of these,D
310,Which of following is a computer internet protocol?,IEEE 802.2,IEEE 802.3,TCP/IP,MAC,C
311,Computer software which combines audio and video application sharing is known as,teleconferencing software,data sharing software,project sharing software,utility software,A
312,"Topology which takes more cable than e.g. a bus, but benefit is that if a cable fails, only one node will be brought down is",bus topology,ring topology,star topology,mesh topology,D
313,Which of following is not a benefit of a computer network?,connect people,reduce hardware cost,produce high quality programs,enable shared applications,C
314,"In computer, ISO stands for","
international standards organization",independent system operator,international students organization,infrared space observatory,A
315,Which of following is not a computer LAN topology?,bus ,band,star,ring,B
316,Main purpose of computer network is............,file sharing,hard disk sharing,printer sharing,all of these,D
317,Transferring information from a computer to internet is called,downloading,down sizing,pasting,uploading,C
318,Bottom layer of computer OSI model is...............,physical,data link,network,application,A
319,Top most layer of computer OSI model is..........,application,transport,session,presentation,A
320,Layer of computer OSI model which furnishes electrical connections and signaling is known as........,application,physical,session,network,B
321,"In computer, FTP facility is used to.......",transfer protocol,transfer file,connect to internet,check PC,D
322,If a computer in a network shares resources which can be accessed by other computers it is called a................,server,client,sender,all of these,A
323,"In computer, FTP stands for...............",file transfer protocol,finding tele path,final transmission program,file transfer process,A
324,Layer of computer OSI model which performs data compression is.............,network,data link,presentation,physical,C
325,ISO developed a standard model of computer data communication system which is known as......,OSI,ANSI,SNA,DEC,A
326,Layer of computer OSI model which is concerned with addressing and routing is called................,network,data link,physical,transport,A
327,Interconnection which is present between two or more computers so that they can communicate with each other is called..............,network,sharing,link,LAN,A
328,OSI stands for...............,Open System internals,Open System international,Open System interconnectio,Organization Standard International,C
329,Framing is an activity at the.................layer of the OSI,network,application,physical,data link,D
330,The following are advantages of social media except.........,Sharing,Socialization,Cyberstalking,Crowdsourcing,C
331,The following are examples of social media platform except.............,Google,Google+,Facebook,Telegram,A
332,The path through which signal will be sent between two nodes is determined at the..............layer,Physical,Logical,Transport,Ntwork,D
333,Conversion of bit into electrical or optical signals is the carried out at the ........layer,Data Link,Physical,Application,Transport,B
334,.................layer performs the role of translator,Presentation,Session,Physical,Data Link,A
335,The following are transmission modes except...............,Duplex,Quarter Duplex,Half Duplex,Simplex,B
336,Routers and gateways are devices found on the ......................layer of the OSI model,Physical,Session,Presentation,None of the above,D
337,Service point addrressing is one of the role of which layer?,Session layer,Transport layer,Data Link layer,Network layer,B
338,Mechanism used by the session layer to prevent two parties from attempting the same critical operation at the same time is called .......,Operation management,Access management,Token management,None of the options,C
339,The following activities are executed at the presentation layer except............,Encryption,Decryption,Compression,Framing,C
340,The following are protocols on the Application layer except.......................,HTTP,FTP,UDP,BNS,C
341,Which of the following is not the function of the Application Layer?,None of the Options,Directory Services,Mail Services,Network Virtual Terminal,A
342,SMTP stands for ...........,Systemic Mail Transfer Protocol,Simple Mail Transport Protocol,Simple Mail Transfer Protocol,Systemic Mail Transmition Protocol,C
343,Which of the following is not a protocol in Layer 3 of the OSI model?,Open Shortest Path First,Internet Protocol Version 6,"
Exterior Gateway Protocol",Border Gateway Protocol,D
344,The two types of connection control on the transport layer are...................................,Connectionless and Connection-Oriented TL,Active and Passive TL,Direct and Indirect TL,"
None of the options",A
345,Bluetooth and Infrared operates on which layer of the OSI-model?,Transport,Physical,Application,Session,B
346,Voltages and Baud rate needed for transmission is defined on the...........layer,Network,Presentation,Data Link ,Physical,D
347,Synchronization is an activity on the following layers except..................,Session,Data Link,Presentation,"None of the Options
",C
348,...........................layer is the inteface between the model and end-users,Session,Physical,Application,"
Network",C
349,Error control in carried out of the following layers except...................,"
Presentation",Transport,"
Network
",Data Link,A
350,Which of the following is not true about the internet,A network of networks,Started as ARPANET,Started in US Department of defense,None of the above,D
351,ARPA represents,Advanced Research Projects Agency,Advanced Reach Projects Agency,Advanced Residents Projects Agency,Advanced Research Projects Agents,A
352,The World Wide Web came into being in,1990,1991,1992,1993,B
353,Who developed the internet,Isaac Newton,Tim Bernes-Lee,"
Mark Zukaberg",Bill Gates,B
354,The internet works with which of the following major protocols,TCP/IP,TPP/IPC,PCT/PI,CPT/PI,A
355,HTTP represents,HyperText protocol,Hypertext Transfer Protocol,Hyper Protocol,None of the above,B
356,HTML represents,Hyper Text Markup Language,Hyper Markup Language,Higher Markup Language,None of the above,A
357,URL represents,United Resource Locator,Universal Resource Locator,Uniform Resource Locator,None of the above,C
358,Which of the following is an example of Browser,Microsoft Word,Corel Draw,Internet Explorer,Python,C
359,Which of the following is an example of search engine,Microsoft Excel,Google,Apple,WWW,B
360,URL can also represent,Web address,Tool bar,Search engine,None of the above,A
361,Look at the following Top level dormains and state which of them represents a military site,.com,.org,.edu,.mil,D
362,Which of the Top level domains below best applies to University website,.com,.edu,.org,.mil,B
363,"When establishing a website for commercial purposes, which of the following Top level domains best applies",.com,.edu,.org,.mil,A
364,"To establish a government website, which of the following Top level domain would you recommend","
.int",.biz,.gov,"
.name
",C
365,The browser keeps track of the pages you’ve visited and saves them on your hard disk so they will load faster when you return to them. These saved files are stored where,RAM,ROM,Cache,Magnetic device,C
366,Search engine databases are selected and built by Computer Robot Programs called,Spiders,Search rats,"Quicknets
",Bots,A
367,"When personal details of an innocent people are harvest by a third party so that they can be used for malicious purposes, is called",Personal theft,Identity theft,Institutional theft,None of the above,B
368,In the world computing the brabch of philosophy that deals with determining what is right and wrong is called;,Computer ethics,Computer rights,Computer forensics,"
None of the above",A
369,Which of the following is/are an ethical behavior in computing,"
Use of computer to steal",Use of computer to harm other people,"
None of the above",All of the above,C
370,Which of the following is NOT an example of antivirus,AVG,Avast,Norton,Microsft Word,D
371,The idea of computer ethics was invented in what year,1950,1951,1952,1953,A
372,The idea of computer ethics was invented by who,Professor Bill Harvard,Professor Nobert Weiner,Professor John Clijnton,"
Edward Newman
",B
373,Which of the following is NOT a main concern of computer ethics,Internet privacy,Cracking,Copyright Infringement,"
Entertainment
",D
374,Which of the following computer based programs is non-destructive,Virus,Worms,Trojan horse,"
Microsoft windows",D
375,Which of the following is a primary architecture of the internet,Client-client architecture,Client-server architecture,Server-server architecture,None of the above,B
376,Which of the following is NOT a type of protocol,TCP,IP,HTTP,.gov,D
377,TCP represent a kind of protocol fully called,Transport Control Protocol,Transmission Control Protocol,Transfer Co-ordinating Protocol,"
None of the above",B
378,WWW represents,Worldwide Network,World Wide Web,World Wide Internetwork,None of these,B
379,IP is a popular protocol in computing; IP therefore represents,Information Protocol,"
Internet Protocol",Intercharge Protocol,None of the above,B
380,ARPANET was a network that connected major computers at University of ……………,University of California,University of Cambridge,University of Capetown,University of Connecticut,A
381,The World Wide Web came into being in what year,1990,1991,1992,1995,B
382,"------------contains the basic software you need in order to find, retrieve, view and send information over the internet.","
Browser",Web page,Internet retriever,None of the above,A
383,"Generally, any text that contains “links” to other text are called",Browser,Hypertext,URL,None of the above,B
384,------------ is a term which describes sending data from a local computer to a remote computer,Download,Offload,"
Update
",Upload,D
385,------------- is aterm which describes copying data from a remote computer to a local computer,Update,Download,Offload,"
None of the above
",B
386,The beginning page of any website is called,First page,New page,Home page,None of the above,C
387,What is the full meaning of ARPANET,Advanced Research Projects Agency Network,"
Advanced Residents Projects Agency Network",Advanced Research Projects Agents,Advanced Projects Agency Network,A
388,The World Wide Web come in being in,1984,1995,1991,None of the above,C
389,The Internet was developed by,Bill Gates,Tim Bernes-Lee,Alan Turning,None of the above,B
390,------------- is a set of steps for solving a particular problem,Instruction,Algorithm,Approach,None of the above,B
391,The property of algorithm which states that an algorithm must always terminate after a specific number of steps is called----------------------,"
Finiteness",Definiteness,None of the above,All of the above,A
392,All of the following are properties of algorithm except,Finiteness,"
Definiteness
",None of the above,All of the above,C
393,A diagrammatic representation of flow of data/information through a processing system is called-,"
New diagram",Program diagram,Flow chart,"
None of the above
",C
394,The rectangular symbol in a flowchart represents___,Decision,Connector,Process,Terminal,C
394,The Diamond symbol in a Flowchart represents,Decision,Connector,Process,Terminal,A
396,The arrows in a Flowchart represents,Flow lines,Decision,Process,Terminal,A
397,The Circular symbol in a Flowchart represents,Flow lines,Connector,Process,Terminal,B
398,Connector symbol in a flow chart performs the following functions except,Connects from one page to another page,Connects from the bottom of the page to the top of the same page,None of the above,Connects an upward flow of more than 3 symbols,C
399,Which of the following is not true about flow charts,All flow charts end with a terminal or a connection loop,The decision symbol has two exit points; these can be on the sides or the bottom and on one side,Flow chart symbols have an entry point on the top of the symbol with no other entry points,None of the above,D
400,Which of the following is NOT an advantage of flow chart in computer programming,Supports coding of program,Supports efficient program maintenance,Communicates the program flow,None of the above,D
401,State example(s) of algorithm,Flowchart,Pseudocode,All of the above,None of the above,C
402,Identify a Search Engine out of the following options,Microsoft Excel,Google,Apple,WWW,B
403,Which of the following is not a main concern of computer ethics,Internet privacy,Cracking,Copyright Infringement,Entertainment,D
404,The property of algorithm which states that an algorithm must always terminate after a specific number of steps is called----------------------,"
Finiteness","
Definiteness",None of the above,All of the above,A
405,What is the full meaning of ARPANET,Advanced Research Projects Agency Network,Advanced Residents Projects Agency Network,Advanced Research Projects Agents,Advanced Projects Agency Network,A
406,Who developed the internet,Isaac Newton,"
Tim Bernes-Lee",Bill Gates,"Mark Zukaberg
",B
407,Which of the following is an example of Browser,Microsoft work,Corel Draw,Internet Explorer,Python,C
408,HTML represents,"
HyperText Markup Language",Higher Markup Language,Hyper Makeup Language,None of the above,A
409,Look at the following Top level domains and state which of them represents a military site,.com,.edu,.org,.mil,D
410,The language that was applicable to the first generation computers is,High level language,Assembly language,Machine language,None of the above,C
411,The following is an input device except,Keyboard,Mouse,Scanner,"
Monitor",D
412,One of the following can be referred to as processed data.,Processing,Information,Data,Words,B
413,The Device that was designed to replace the traditional method of counting is called,500BC,Machine,Calculator,Abacus,D
414,Who is referred to as father of computers,Blaise Pascal,Charles Babbage,Herman Hollerith,"
Bill gate",B
415,Which year did Blaise Pascal invented the first mechanical calculator,1646,1642,1522,1641,B
416,The technological base of first generation of Computers is called,Transistor,Vacuum tube,integrated circuit,capacitor,B
417,What is the first general purpose digital computer that was based on the idea of stored Program Concept,"
ENIAC
","
EDVAC
",EDSAC,EVAST,C
418,Digital Computer has how many states,One,Two,Three,One and Half,B
419,Monitor can be categorized into which Computer Device,Input device,Storage device,Output Device,Auxiliary Device,C
420,Laptop can be classified into which type of Computer,Minicomputer,Micro Computer,Mainframe Computer,Modern Computer,B
421,The following can be found in the front casing of a Computer System except,Power Switch,Processor,Reset Button key lock,"
CD-ROM Drive
",B
422,One of the following can be referred to as Visual Display Unit,Monitor,Printer,Keyboard,Mouse,A
423,What is the number of keys in a standard keyboard,100,105,112,102,B
424,Which device is used to convert and transfer data or instruction into a Computer System,Storage Device,Output Device,Input Device,Auxiliary Device,A
425,The Computer device that is used for selecting and Clicking ions and menus on the screen of the computer system is called,Keyboard,Monitor,"Mouse
",Printer,B
426,The hardware comprises the following Unit except,Device Unit,Input Unit,Processing Unit,Output Unit,A
427,The following computer device can be categorized into output unit except,Printer,keyboard,Screen Touch,"
Monitor
",B
428,The main memory also known as primary memory is made up of,DRAM and ROM,RAID and RAM,RAM and ROM,CSC and MERMORY,C
429,Which Language can be referred to as low level language,Assembly,Fortran,Pascal,Machine,D
430,One of the following can be categorized as Utility Software,Operating System,Anti Virus,Application Program,Word Processor,B 
431,A digital computer system has how many number of states,1,3,2,0,C
432,Thermometer can be categorized into which type of computer system,Digital Computer,Analogue Computer,Hybrid Computer,Integrated Computer,B
433,Laptop can be grouped into which computer classification by size,Super Computers,Mainframe Computers,Mini Computers ,Micro Computers,D
434,Operating System can be grouped into which type of software,System software,Utility software,Application program,Microsoft word,A
435,The central Processing Unit consist of the following functional parts except,Main memory unit,Auxiliary Storage Unit,Control Unit,Arithmetic and Logical Unit (ALU),B
436,The technological base of third generation of computers is called,Vaccum tube,Integrated circuit,transistors,Abacus,B
437,The type of monitor that display only one colour (dark colour) is called,Visual Display Unit,Colour Monitor,Monochrome,Output Unit,C
438,The main memory of a computer system is also referred to as which memory,Secondary,Auxillary,Read Only,Primary,D
439,Computer System is made up of which major part,3,1,4,2,D
440,First Generation of Computers that is very large is invented in which year,1958,1945,1944,1946,D
441,Computer can be broken down into how many components,3,1,2,4,C
442,A group of programs written by programmer to enable the harware function is?,mainframe,humanware,software,mainware,C
443,------- can be defined as the electronic mechanical components of a computer system,Peripheral Devices,hardware,CPU,software,B
444,How many parts can computer haredware be broken down into ?,1,3,2,5,C
445,CPU is an example of ------- ?,software,humanware,hardware,control unit,C
446,"--------is refers to as the "" Heart "" of the the computer",Peripheral Devices,Memory unit,CPU,Logic unit,C
447,CPU means ?,Central Processor Unit,Central Power Unit,Control Processing Unit,Central Processing Unit,D
448,Computer hardware is mande up of ----- and ------ ?,CPU & peripheral devices,ALU & peripheral devices,Control unit & Memory unit,none of the above,A
449,ALU means ?,Arithemetic & Legitimate unit,Arithemetic & Logic unit,Arithemetic & Legal unit,none of the above,B
450,CPU consists of ------ major parts,4,2,5,3,D
451,CPU consists of the following excepts,Control unit,memory unit,Arithmetic & Legitimate unit,Arithmetic & Logic unit,C
452,A unit of computer that performs arithmetic and logic operations is ?,CPU,ALU ,ROM,RAM,B
453,--------- supervises each unit of the computer system,ALU,Control unit,memory unit,none of the above,B
454,Under which control does the control unit supervise each unit of the computer?,memory unit,Stored programs,ALU ,CPU,B
455,The main memory is also refered to as,Secondary memory,Primary memory,unit memory,none of the above,B
456,Computer memory can be classified into -------- categories,2,3,5,4,A
457,ROM means ?,Ready open Memory,Random Only memory,Read Only Memory,Random Open Memory,C
458,Main memory is also known as ?,Internal memory,External memory,Extended memory,none of the above,A
459,Main memory is used to store intermediate results and data while computer is processing,TRUE,FALSE,,,A
460,RAM means?,Ready Access Memory,Read Access Memory,Random Accepted Memory,Random Access Memory,D
461,How types of memory does computer have?,3,2,4,5,B
462,secondary memory is also known as ?,External memory,Internal memory,Extensive memory,none of the above,A
463,Optical disk is an example of ?,primary memory,secondary memory,unit memory,Extensive memory,B
464,"Equipments used to get instructions, data or information into the computer are called ?",output devices,input devices,external devices,none of the above,B
465,---------- is one of the peripheral devices,input devices,external devices,optical devices,none of the above,A
466,The following are examples of input devices except ?,keyboard,microphone,digital camera,multimedia speaker,D
467,------- is an example of input devices,printer,monitor ,projector,digital camera,D
468,Equipments used to get information or result from a computer to the outside world are ?,input device,output device,data devices,information devices,B
469,Part of computer components is,sofware,paperware,humanware,none of the above,A
470,------- and -------- are types of computer software,system software & application software,system software & human software,application software & output software,none of the above,A
471,A group of programs which control the hardware is?,hardware,software,application ware,people ware,B
472,Program that control the performance of the system is,System software,Application software,peopleware,none of the above,A
473,How many part is system software made up of ?,2,3,5,4,B
474,---------- is an example of system software,Operating system,Input device,output device,Application software,A
475,The following are examples of system software except?,Application software,Operating system,Translator,Utilities,A
476,A set of programs designed to efficiently manage the resources of the computer program is ?,Translators,Operating system,Utilities,Application system,B
477,The following are examples of the operating system except?,Ms-Dos,Xenix,Windows,none of the above,D
478,-------- is an example of operating system,Electronic spreadsheet,Graphics packages,Accounting packages,Linux,D
479,The following are functions of operating system except?,It simplifies the creating and management of files,It allocates computer resources,It allocates memory for any job,none of the above,D
480,A computer program that changes a program from one language to another is?,Utilities,Operating system,Translator,Application,C
481,The following are examples of translator except?,Complier,Interpreter,Assembler,Information,D
482,A software designed to perform house keeping task or routine functions is?,Utilities,translators,Operating system,Interpreter,A
483,The following are functions of utilities except?,Alloctaion of computer resources,Copying of files,Sorting records and data file,backup,A
484,-------- is an example of utility s/w,Editor,Producer,Interpreter,Compiler,A
485,Word processing is an example of ---------- ?,Application softwre,System software,Utility software,none of the above,A
486,The following are examples of application software except?,Computer packages,Architectural packages,Editor,Word processing,C
487,Linux is an example of --------- ?,Operating system,Translators,Utilities,Assembler,A
488,The following are examples of operating system except ?,Xenix,Windows,Linux,Utilities,D
489,The Internet is the largest computer network,No,Yes,I don't know,none of the above,B
490,THE Acronym internet stands for,International Network,Interconnected Network,Inter-Networth,Interconnted Networth,B
491,A neetwork is a group of how many computer linked together?,Two,Two or More,Four or more,Four,B
492,LAN is an acronym for,Legal Area Network,Local Area Network,Legal Authentic Network,Local Authentic Network,B
493,WAN is an acronym for,World Area Network,Wide Area Network,World Authentic Network,Wide Authentic Network,B
494,A WAN typically consist of two or LANS,False ,TRUE,Not sure,none of the above,B
495,"The type of omputer network used to connect two or more computer sharing certain rresources in a relatively small geographuical location, ofen the same building",WAN,LAN,WWW,HTML,B
496,A computer that serves many different computers in a network by running specialized software and storing information.,Computer Network,Server,Computer Services,None of the above,B
497,"When you access a web page, your computer is acting as a?",Host,Client,Server,None of the above,B
498,Which of the software communicate with the server to get the information?,Web browser,A and C,Email software,none of the above,B
499,"In order for your browser to display a web page, it sends the data to the server where the page is stored.",TRUE,False ,Not sure,All of the above,B
500,"In P2P, each computer do not acts as both a server and a client ",TRUE,False ,A and B,Not sure,B
501,An example of P2P software include,Internet Explorer,Skype,Mozilla Firefox,Facebook,B
502,P2P is an acronym for which of the following?,Point-to-point,peer-to-peer,Pair-to-Pair,None of the above,B
503,WWW is an acronym that stand for,Wide World Web,World Wide Web,Web World Wide,Wide Web World,B
504,The internet is a virtual network of web sites connected by hyperlinks.,Ture,FALSE,No Idea,Not sure,B
505,The acronym HTML stand for?,High Text Mark up Language,Hypertext Markup language,HyperText Marking Language,HperText Mark Language,B
506,The backbone of the WWW is made of?,Internet files,HTML files,WWW files,LAN files,B
507,What does CSS stand for?,Cascading Styles Sheet,Cascading Style Sheet,Cascade Style of System,Cascading Style System.,B
508,The following are an example of Web browser except,Safan,WhatsApp,Google Chrome,Netscape Navigator,B
509,The acronym URL stands for?,Unity Reform Locator,Uniform Resource Locator,Uniform Reform Locator,Unity Resource Locator,B
510,ISP is an acronym that stands for,Internet Service Protocol,Internet Service Provider,Interconnected Service Protocol,Interconnected Service Provider,B
511,The term Http is an acronym for,HyperTextTransmission Protocol,HyperText Transfer Protocol,HighText Transmission Protocol,HighText Transfer Protocol.,B
512,The following are features of E-mail except (b) Look directory for files FTP Server,One-to-one or One-to-many Communication,Look directory for files FTP Server,Encourages informational communications,Instant Communication,B
513,The following are objects of FTP except?,Get the file(s) you want,Encourages informational communications,Look directory for the files in FTP server,Gives the remote site a Password,B
514,Which of the following steps are required for a TELNET session?,Dial up connection,Log in the remote computer,Leased connection,Cable Modem Connection.,B
515,Which of the following is a family of technologies that provides digital transmission over the wires of a local telephone network,TELNET,DSL,FTP,SMTP,B
516,The following are different ways of communication online except,Social Networking,Internet,VoIP,Chat,B
517,The term VoIP is an acronym for?,Voice On Internet Protocol,Voice Over Internet Protocol,Video On Internet Protocol,Video Over Internet Protocol.,B
518,The acronym DSL stands for?,Dynamic Subscriber Line,Digital Subscriber Line,Dynamic Subscription Line,Digital Subscription Line.,B
519,IP is an acronym that stands for?,Internet Provider,Internet Protocol,International Protocol,Internetwork Provider,B
520,Which of the following best suite the acronym ISP?,Internet Server Protocol,Internet Service Provider,Internet Service Protocol,Internet Server Provider.,B
521,Which of the following is not an example of search engine?,Google,Twitter,Yahoo,Bing,B
522,Google is an example of web browser.,TRUE,False ,A and B,Not sure,B
523,Which of the following is not an example of Social Media Platform?,WhatsApp,Udemy,Twitter,Medium.,B
524,Slack is an example of social media platform.,FALSE,TRUE,Not sure,None of the above,B
525,Is HTML programing language?,Yes,No,A and B,I don't know,B
526,Which of the following is an example of a scripting language?,ISP,HTML,FTP,DSN,B
527,The founder of Google are,Steve Jobs and Sergey Brin,Lamy Page and SergeyBri,Sergey Brin and Mark Zuckerberg.,Mark Zuckerberg and Larry Page,B
528,The founder of amazon is?,Sergey Brin,Jeff Bezos,Bill Gates,Warren Buffet.,B
529,The founder of WhatsApp Mobile Messaging application is?,Mark Zuckerberg,Jan Koum,Mark Zuchaberg,Larry Page.,B
530,The founder of Facebook is?,Mark Zuchaberg,Mark Zuckerberg,Jan Koum,Mark Zuckergag.,B
531,The following are founders of twitter social platform except?,Jack Dorsey,Jan Koum,Noah Glass,Biz Stone.,B
532,The following are some of the things to consider in selecting ISPs except?,Speed,Weather,Price,Service Record.,B
533,The acronym DNS Stands for?,Domain Name Service,Domain Name System,Domain Name Server,None of the above.,B
534,The method or protocol by which data is sent from one computer to another on the internet is called,DHCP,IP,TCP,UDP.,B
535,"The protocol that makes sure the data is put in the right order, and none of it is missing is called",UDP,TCP,ISP,P2P.,B
536,SNMP is an acronym for?,Simplified Network Management Protocol,Simple Network Management Protocol,Simple Network Managing Protocol,Simplified Network Management Provider.,B
537,The use of internet is ………..,for special people,for all,few,professionals,B
538,The internet is a virtual Network of websites connected by hyperlinks,TRUE,False ,Not Sure,No idea,A
